x y z qx qy qz qw yaw_deg direction
13.558110 20.118890 0.000000 0.000000 0.000000 0.165949 0.986134 19.10 reverse
13.611299 20.133423 0.000000 0.000000 0.000000 0.165965 0.986132 19.11 reverse
13.553689 20.120551 0.000000 0.000000 0.000000 0.166013 0.986124 19.11 reverse
13.605140 20.134632 0.000000 0.000000 0.000000 0.165880 0.986146 19.10 reverse
13.656702 20.148888 0.000000 0.000000 0.000000 0.165893 0.986144 19.10 reverse
13.708590 20.163271 0.000000 0.000000 0.000000 0.165906 0.986142 19.10 reverse
13.760631 20.177600 0.000000 0.000000 0.000000 0.165770 0.986164 19.08 reverse
13.812809 20.192122 0.000000 0.000000 0.000000 0.157259 0.987557 18.10 reverse
13.703686 20.164488 0.000000 0.000000 0.000000 0.157302 0.987551 18.10 reverse
13.753047 20.178269 0.000000 0.000000 0.000000 0.157185 0.987569 18.09 reverse
13.802485 20.192197 0.000000 0.000000 0.000000 0.157190 0.987568 18.09 reverse
13.852205 20.206241 0.000000 0.000000 0.000000 0.157196 0.987567 18.09 reverse
13.902074 20.220268 0.000000 0.000000 0.000000 0.157099 0.987583 18.08 reverse
13.952040 20.234444 0.000000 0.000000 0.000000 0.157104 0.987582 18.08 reverse
13.805814 20.195826 0.000000 0.000000 0.000000 0.157145 0.987576 18.08 reverse
13.852188 20.209056 0.000000 0.000000 0.000000 0.157057 0.987590 18.07 reverse
13.898648 20.222413 0.000000 0.000000 0.000000 0.157060 0.987589 18.07 reverse
13.945347 20.235874 0.000000 0.000000 0.000000 0.157063 0.987589 18.07 reverse
13.992138 20.249329 0.000000 0.000000 0.000000 0.156992 0.987600 18.06 reverse
14.039005 20.262903 0.000000 0.000000 0.000000 0.156994 0.987600 18.06 reverse
13.867830 20.216513 0.000000 0.000000 0.000000 0.157035 0.987593 18.07 reverse
13.910584 20.228994 0.000000 0.000000 0.000000 0.156965 0.987604 18.06 reverse
13.953391 20.241577 0.000000 0.000000 0.000000 0.156967 0.987604 18.06 reverse
13.996367 20.254245 0.000000 0.000000 0.000000 0.156969 0.987604 18.06 reverse
14.039440 20.266927 0.000000 0.000000 0.000000 0.156910 0.987613 18.06 reverse
14.082534 20.279698 0.000000 0.000000 0.000000 0.156911 0.987613 18.06 reverse
13.896642 20.228269 0.000000 0.000000 0.000000 0.156951 0.987606 18.06 reverse
13.935307 20.239848 0.000000 0.000000 0.000000 0.156896 0.987615 18.05 reverse
13.974013 20.251513 0.000000 0.000000 0.000000 0.156897 0.987615 18.05 reverse
14.012861 20.263258 0.000000 0.000000 0.000000 0.156898 0.987615 18.05 reverse
14.051728 20.275008 0.000000 0.000000 0.000000 0.156851 0.987622 18.05 reverse
14.090609 20.286832 0.000000 0.000000 0.000000 0.156852 0.987622 18.05 reverse
13.898380 20.232632 0.000000 0.000000 0.000000 0.156891 0.987616 18.05 reverse
